Codes,Names,Lone parent household (%),BAME (%),English as first language (%),Social rented (%),Private rented (%),% Highest level of qualification: Level 2 qualifications,Unemployment rate,Median Household Income (£)
E01002275,Havering 015D,6,20.7,98.5,0.8,4.3,16.5,3.8,47785
E01002319,Havering 016A,12.3,12.4,95.7,17,10,17.6,7.0,29544
E01002350,Havering 016B,12.8,19.6,92.1,14.9,30.9,14.0,8.2,28278
E01002351,Havering 016C,12.6,12,94.6,4,18.7,16.6,6.3,31479
E01002352,Havering 016D,10.8,14.8,93.6,6.8,23,17.2,6.5,33841
E01002358,Havering 016E,14.4,17.9,93.3,8.2,28.3,15.3,7.3,30791
E01002246,Havering 017A,10.8,21.6,96.1,3.6,13.8,14.8,5.7,30679
E01002247,Havering 017B,15.2,25.5,94.5,5.3,21.1,18.1,8.3,29838
E01002248,Havering 017C,17.7,20.8,95.4,21.5,15.5,17.3,8.5,27402
E01002249,Havering 017D,13.1,32.4,88.3,24,17,15.8,6.0,30843
E01002250,Havering 017E,13.7,23.4,94.4,5.1,15.9,19.4,6.9,30264
E01002251,Havering 017F,18.8,21.6,91.6,31.6,8.7,13.6,9.9,26749
E01002252,Havering 018A,8.3,4,98.7,3.2,4.2,18.0,3.9,36226
E01002256,Havering 018B,7.9,5.3,98.7,2.4,7.4,17.8,3.8,39166
E01002258,Havering 018C,12,4.8,98.5,21.5,11.4,14.3,6.8,29531
E01002259,Havering 018D,11.9,5.5,97.5,3.3,4.4,20.2,4.8,37047
E01002391,Havering 018E,8.4,4,99.7,3.8,4.1,17.9,4.4,41154
E01002253,Havering 019A,4.2,4.9,100,0.3,1.6,21.4,2.6,49795
E01002254,Havering 019B,6.1,6.6,98.3,0.6,5.5,20.3,2.1,48616
E01002257,Havering 019C,5.2,5.9,98.6,0.3,7.5,20.3,2.9,56412
E01002384,Havering 019D,6.1,6.3,97,3.1,8.5,18.3,3.2,45403
E01002359,Havering 020A,6.6,5.9,99.2,0.8,5,18.1,3.0,40800
E01002360,Havering 020B,7.3,4.4,99.1,19.5,11.7,15.4,4.6,30712
E01002361,Havering 020C,11.8,9.1,96.2,19.7,24.5,16.2,7.4,28670
E01002363,Havering 020D,12.2,6.8,98.4,31.3,6.7,15.1,7.4,27992
E01002367,Havering 020E,10,5.7,98.6,3.2,20.2,18.5,5.4,37251
E01002320,Havering 021A,9.9,7.7,98.7,1.9,6,21.0,3.8,39098
E01002321,Havering 021B,7.4,11.5,96.9,3,10.6,18.6,5.1,39891
E01002322,Havering 021C,8.9,10.4,98.8,4.1,7.3,20.3,5.1,35732
E01002323,Havering 021D,8.9,10.8,98.6,1.1,7,18.6,5.4,35031
E01002324,Havering 021E,11.7,7.8,96.9,22.3,8.2,17.2,6.5,29288
E01002255,Havering 022A,12.9,8.2,97.3,2.1,6.5,16.6,4.5,36130
E01002289,Havering 022B,9.8,6.9,98.4,8.2,5.2,18.4,4.2,37296
E01002292,Havering 022C,12.4,7.6,97.8,16.3,6.3,18.8,7.6,28540
E01002362,Havering 022D,10.9,7.2,97.4,2.9,15.4,18.9,4.9,41002
E01002386,Havering 022E,9.2,8.7,97.7,2.9,25.4,15.9,3.6,41278
E01002287,Havering 023A,11,9.4,97.8,2.3,7.6,17.0,5.1,32110
E01002291,Havering 023B,8.8,9,96.6,1.2,21.3,16.7,4.1,33414
E01002364,Havering 023C,6.5,3.9,99.4,2.8,6.5,16.1,5.2,37306
E01002365,Havering 023D,14.1,10.9,96.4,5.8,11.4,16.4,4.3,30716
E01002366,Havering 023E,12.7,11.2,98.2,6.2,5.6,18.7,4.6,33337
E01002385,Havering 024A,4.7,2.9,99.3,2.7,6.2,19.0,3.7,45323
E01002387,Havering 024B,6.1,4.4,99.2,0.3,2.3,19.6,3.1,51430
E01002388,Havering 024C,4.9,4.7,99.7,0.5,3.5,17.7,3.8,52185
E01002389,Havering 024D,5,2,99.8,0.8,2.9,17.7,3.9,49528
E01002390,Havering 024E,5.3,5.1,99.6,0.8,2.3,19.2,2.8,54506
E01002265,Havering 025A,10.5,9.1,98.6,3,8.9,19.6,4.4,34547
E01002285,Havering 025B,6.5,5.1,98.1,1.9,6.9,18.7,5.1,35123
E01002286,Havering 025C,9.6,5.4,99.5,0.8,3.1,20.9,4.1,38421
E01002288,Havering 025D,9.6,7.3,97.3,2.2,5.8,22.5,2.5,41381
E01002290,Havering 025E,8.3,7.1,98.4,1.9,3.9,15.7,5.8,33442
E01002260,Havering 026A,14.5,21.7,95.2,5.1,11.1,18.0,6.6,30313
E01002261,Havering 026B,13.2,18.7,93.3,2.8,14.7,18.8,6.7,29527
E01002262,Havering 026C,12.3,14.1,97.6,18.7,6.4,18.4,7.5,28893
E01002263,Havering 026D,9.7,11.8,98.2,3.1,5.6,18.9,3.9,36515
E01002264,Havering 026E,18,10,98,46.6,8.3,15.6,11.0,23126
E01002266,Havering 027A,9.8,10.4,98,5.7,5,13.3,5.4,28350
E01002267,Havering 027B,17.6,12.6,97.5,28.1,7.2,14.3,7.3,26115
E01002372,Havering 027C,13.4,11,98.5,4.3,8,19.4,5.5,29937
E01002373,Havering 027D,13.2,12.5,97.1,7,8.8,18.0,5.9,29074
E01002374,Havering 027E,15.7,15.7,96.5,14.7,8.6,19.9,6.2,28255
E01002368,Havering 028A,19,25,93.2,50.9,9.1,13.8,15.0,22576
E01002369,Havering 028B,12.7,19.8,96.3,9.7,11.1,16.0,7.2,28188
E01002370,Havering 028C,14.3,16.7,95.9,31.2,10.2,18.2,10.1,25626
E01002371,Havering 028D,13.5,13.6,96.6,6.1,8.6,14.3,4.6,28440
E01002375,Havering 028E,18.3,16.2,97.4,27.5,7.8,16.4,9.6,25681
E01002343,Havering 029A,9.6,9.7,98.9,1.1,7.1,16.7,5.0,33739
E01002344,Havering 029B,11.8,14.2,97.5,3.8,13.8,14.8,4.5,29169
E01002348,Havering 029C,10.9,7.7,99.2,1.1,5,15.2,3.4,30355
E01002349,Havering 029D,8.4,4.6,98.5,7.7,5.9,17.8,5.5,31109
E01002342,Havering 030A,14.6,24.3,95.1,13.3,17.9,17.3,9.7,26054
E01002345,Havering 030B,22.4,23.1,95.1,21,25.8,17.9,10.6,24910
E01002346,Havering 030C,18.1,19.2,96.8,18.9,15.8,17.9,8.8,27517
E01002347,Havering 030D,12.5,22.4,94.3,2.3,12,19.7,6.3,29004
E01002473,Hillingdon 001A,5.7,40.3,94.5,24.2,6.3,13.6,3.0,59000
E01002475,Hillingdon 001B,10,31.3,90.6,26.4,19.9,12.2,4.7,42751
E01002476,Hillingdon 001C,4.7,46.2,91.2,3.8,14.2,13.6,4.0,61255
E01002477,Hillingdon 001D,9.8,40.3,91.6,11.3,22.9,10.9,3.5,53647
E01002482,Hillingdon 001E,5.8,40.5,93.4,1.6,8.3,11.7,4.4,58722
E01002472,Hillingdon 002A,8.6,29.5,90.9,10.4,30.1,13.3,4.0,41386
E01002474,Hillingdon 002B,8.7,29.4,91.3,14,17,15.1,3.4,45296
E01002478,Hillingdon 002C,8,27.2,90.8,8.6,26.1,12.3,6.0,47034
E01002483,Hillingdon 002D,9.1,40.4,85.7,4.5,28,11.7,7.0,39273
E01002484,Hillingdon 002E,11.5,26,92.1,24.4,13.3,13.9,3.8,36331
E01002485,Hillingdon 002F,12.1,34.1,86.6,16.8,27.8,13.5,7.3,34331
E01002438,Hillingdon 003A,7.7,11.6,97.5,10.8,9.6,15.8,3.9,45376
E01002439,Hillingdon 003B,13.2,15.2,95.1,22.9,14.8,13.5,4.1,31831
E01002440,Hillingdon 003C,13.3,9.6,97.4,29,4.5,15.0,5.9,30343
E01002441,Hillingdon 003D,11.5,15.4,95.2,27.1,13.2,17.0,5.8,31193
E01002442,Hillingdon 003E,10.4,10.1,96.1,27.1,8.7,17.8,6.0,29182
E01002433,Hillingdon 004A,11.4,23.6,95.3,18.9,8.4,13.9,4.9,39747
E01002436,Hillingdon 004B,9.3,20,96.7,12.2,8.5,15.4,3.4,41182
E01002479,Hillingdon 004C,14.6,30.3,95.1,30.7,6.4,15.0,6.0,36887
E01002480,Hillingdon 004D,5.3,29.3,94.8,2.7,12.9,15.7,3.9,51839
E01002481,Hillingdon 004E,13.5,31.3,92.7,30.7,12.1,15.9,5.8,34876
E01002533,Hillingdon 005A,16.8,14.2,98,22.2,7.6,18.3,4.9,34687
E01002534,Hillingdon 005B,8.2,14.6,96.7,17.3,8.6,16.4,4.4,44623
E01002538,Hillingdon 005C,9.1,15.1,97.2,14.6,8.2,16.5,3.6,37708
E01002539,Hillingdon 005D,7.3,12.2,97.3,12.3,6.1,14.7,4.1,43624
E01002418,Hillingdon 006A,13.5,22.7,94.8,13.8,5.6,14.7,4.3,40094
E01002419,Hillingdon 006B,9.2,22.1,94.3,2,14.2,14.8,4.4,44323
E01002431,Hillingdon 006C,6.7,27.6,94.5,0.8,5.3,15.7,4.3,54235
E01002432,Hillingdon 006D,6.6,22,90.2,1.9,20.6,15.1,4.1,46482
E01002437,Hillingdon 006E,4.4,21.4,96.2,7.4,6.1,14.2,2.9,52006
E01002430,Hillingdon 007A,6.5,13.1,97.1,2.9,3.8,16.0,4.1,55369
E01002434,Hillingdon 007B,6.2,13,97,5,5.6,17.0,2.6,53998
E01002435,Hillingdon 007C,4.7,19.8,97.4,1.9,4.9,15.9,2.3,55238
E01002470,Hillingdon 007D,7.7,20.2,91.6,11.7,25.2,15.4,5.0,38225
E01002535,Hillingdon 007E,6.6,23.6,92.1,6.9,32.1,14.4,3.5,47481
E01002416,Hillingdon 008A,8.9,15.8,95.4,5.6,7.1,17.2,4.6,40134
E01002417,Hillingdon 008B,7.1,20.7,95,1.4,12.4,14.4,4.5,45605
E01002420,Hillingdon 008C,13.3,20.1,95.5,19.6,10.4,14.9,5.5,38438
E01002421,Hillingdon 008D,12.4,20.6,96.4,6.3,9.9,16.2,4.7,40940
E01002471,Hillingdon 008E,9.5,17,96.7,3.2,8.4,16.6,3.2,43859
E01002465,Hillingdon 009A,15.2,19.2,93.2,5.2,22.6,16.3,4.9,35199
E01002467,Hillingdon 009B,9.2,15,97.2,1.7,8.9,15.7,2.1,40590
E01002494,Hillingdon 009C,14.3,26.1,90.6,10.5,14,15.0,4.4,32377
E01002536,Hillingdon 009D,8.9,22.4,93.6,2.5,38.3,14.9,3.0,45842
E01002537,Hillingdon 009E,6.7,23.6,93.3,1.9,27.8,15.9,4.8,47829
E01002415,Hillingdon 010A,9.2,16.3,96.6,1.4,6.1,17.1,3.0,40748
E01002466,Hillingdon 010B,8.2,11.4,98.3,1.7,7.1,16.6,4.1,41506
E01002468,Hillingdon 010C,10,14.7,97.2,2.2,9.6,17.3,3.9,41641
E01002469,Hillingdon 010D,9.4,14.7,95.6,2.2,9.7,16.3,2.6,41387
E01002495,Hillingdon 010E,12.9,24.2,91.8,9.8,25.2,19.0,3.2,39384
E01002458,Hillingdon 011A,5.7,19.2,96.7,1.5,6.8,16.6,3.3,53743
E01002459,Hillingdon 011B,6.3,12.7,97.3,0.3,5.9,17.1,3.1,51288
E01002460,Hillingdon 011C,5.7,17.8,95.5,8.5,13.7,15.1,4.0,45954
E01002462,Hillingdon 011D,6.7,22.4,96.4,1.8,14.6,17.4,3.5,55390
E01002464,Hillingdon 011E,8,16.8,97.1,8.8,6.4,14.8,4.4,44323
E01002461,Hillingdon 013A,4.8,36.9,93,4.5,8.1,13.2,3.4,53294
E01002463,Hillingdon 013B,7.6,27.6,96.2,4.5,6.2,17.3,3.2,50697
E01002512,Hillingdon 013C,5.7,27.6,94.3,2,12.7,13.7,2.9,50964
E01002513,Hillingdon 013D,5.1,27,95.6,12.5,8.3,14.2,3.3,45627
E01002516,Hillingdon 013E,4.7,42.1,92.9,1.8,12.2,13.3,4.0,49684
E01002450,Hillingdon 014A,15.1,30,93.2,1.8,11.7,18.5,4.7,34702
E01002451,Hillingdon 014B,11.4,31.6,93.5,6.5,10.8,16.9,4.5,37382
E01002452,Hillingdon 014C,11.8,35,92,6.2,11.2,17.4,4.3,38074
E01002453,Hillingdon 014D,14.4,31,92.7,7.3,13.9,16.5,3.9,32493
E01002454,Hillingdon 014E,17.2,29,93.3,24.5,11,16.5,7.6,28644
E01002414,Hillingdon 015A,9.1,46.2,86.7,9.7,33.4,11.1,2.3,33592
E01002514,Hillingdon 015C,6.8,29.7,89.5,11.4,27.7,12.4,3.2,38117
E01002515,Hillingdon 015D,12,26.5,92.2,26.3,24.9,15.6,5.6,33106
E01033725,Hillingdon 015F,9.8,30.1,88.7,23.2,30.4,11.8,7.5,30918
E01002520,Hillingdon 016B,14.3,31.8,89.2,23.7,23.9,13.9,8.9,29889
E01002521,Hillingdon 016C,9.1,32.9,82.1,40.9,27.2,11.9,7.8,26364
E01002523,Hillingdon 016D,8.7,42.8,89.8,11.7,28.4,11.2,4.8,30387
E01033724,Hillingdon 016F,10.5,48.6,88.9,15.7,27.3,10.6,3.7,28747
E01002410,Hillingdon 017A,10.8,38,88.4,6.7,20.1,15.4,6.5,31213
E01002412,Hillingdon 017B,10.8,44.2,83.1,11.7,24.2,12.6,4.0,36029
E01002456,Hillingdon 017C,14.3,31.4,92.4,16.9,20.3,15.4,6.9,29300
E01002509,Hillingdon 017D,7.8,31.6,94.2,1.4,8.6,16.2,4.5,42489
E01002511,Hillingdon 017E,12.2,29,94.9,26.3,11.3,14.7,6.6,30618
E01002422,Hillingdon 018A,13.4,42.6,85.6,3,18.8,15.1,5.8,29279
E01002423,Hillingdon 018B,10.7,37.6,90,8.1,9.5,15.7,5.0,32465
E01002424,Hillingdon 018C,15,47.7,84.6,2.9,19,15.9,4.6,30259
E01002425,Hillingdon 018D,15.5,46.5,87.3,22,20.2,15.0,10.3,26071
E01002427,Hillingdon 018E,13,43.2,87.7,4.1,12.3,15.2,5.1,30016
E01002428,Hillingdon 018F,15.1,35.6,88.3,5.8,11.3,16.3,3.7,31059
E01002408,Hillingdon 019A,14.5,36.2,86,34.2,18.8,12.9,6.0,25996
E01002409,Hillingdon 019B,18.6,40.3,89.9,30.5,19.3,13.7,8.5,26873
E01002429,Hillingdon 019C,22.1,39.4,89.8,27.1,13.1,17.0,8.6,26810
E01002455,Hillingdon 019D,12.9,42.9,87.1,16.6,18.3,12.9,8.3,29562
E01002457,Hillingdon 019E,24.4,44.2,88.2,35,18.4,17.2,7.5,26278
E01002392,Hillingdon 020A,26.5,46,81.4,50.8,10.7,14.7,11.6,23763
E01002393,Hillingdon 020B,17.7,55.2,82.4,20.6,19.7,13.2,9.4,25655
E01002540,Hillingdon 020C,15.1,54.2,78.9,22.1,18.8,14.4,9.2,26349
E01002542,Hillingdon 020D,21.8,66.3,71.7,31.4,22,12.7,9.6,24284
E01002543,Hillingdon 020E,25.3,56.8,77.1,29.3,15.2,13.2,9.6,25098
E01002394,Hillingdon 021A,11.2,66.6,76.2,10.2,19.7,11.9,7.7,26460
E01002395,Hillingdon 021B,11.3,70.9,75.7,6.8,19.3,13.0,8.2,28363
E01002397,Hillingdon 021C,14.4,80.5,69.5,12.8,31.9,14.2,10.9,24133
E01002398,Hillingdon 021D,8.7,78.8,67.7,5.5,25.6,11.5,8.0,27268
E01002399,Hillingdon 021E,12.4,76.5,72.8,3.6,20,13.9,5.4,27671
E01002426,Hillingdon 021F,15.1,55.4,79.4,3.8,21.6,12.6,7.0,26967
E01002411,Hillingdon 022A,16.6,24.7,93.8,28.6,17.1,12.9,7.7,26565
E01002413,Hillingdon 022B,15.8,26.5,90.6,34.2,14.1,13.0,9.6,25644
E01002518,Hillingdon 022C,6.3,28.7,94.5,4.3,18.8,15.3,4.2,35018
E01002519,Hillingdon 022D,9.2,23.7,90.5,22.8,24.6,12.5,6.9,26281
E01002550,Hillingdon 022E,14.8,30.5,85.4,20.5,34.2,14.1,7.0,26665
E01002554,Hillingdon 022F,13.3,41.4,80.1,19,35.1,13.3,7.3,27521
E01002541,Hillingdon 023A,13.9,46,83.9,7.4,17.5,13.7,6.3,32216
E01002544,Hillingdon 023B,13.3,70.8,78.7,4.3,22.2,12.0,6.5,30950
E01002545,Hillingdon 023C,37.5,60.3,81.4,66,12,16.9,12.1,23746
E01002546,Hillingdon 023D,8.9,81.2,69.3,3.6,26.1,15.0,5.7,28286
E01002547,Hillingdon 023E,17.5,81.5,67.7,14.8,23,13.8,9.7,25731
E01002400,Hillingdon 024A,14.5,47.8,83.1,22.7,18.5,12.0,7.0,27539
E01002401,Hillingdon 024B,16.4,55.6,79.6,20,24.8,13.3,8.4,25585
E01002402,Hillingdon 024C,16.7,60.5,76.4,30.5,16.5,15.7,9.6,25778
E01002403,Hillingdon 024D,19.9,65.3,76.1,28.5,14.9,14.5,7.0,25033
E01002404,Hillingdon 024E,21.9,52.7,79.4,36,16.1,14.4,9.7,23660
E01002548,Hillingdon 025A,17.8,27,90.7,43.5,10.5,14.8,9.4,24566
E01002549,Hillingdon 025B,13.1,35.1,93.3,17.6,13.7,15.0,5.5,30154
E01002551,Hillingdon 025C,15,36,89.7,26.8,15.1,14.5,6.5,26548
E01002552,Hillingdon 025D,21.7,32.6,91.3,30.2,13.9,14.9,7.9,26489
E01002553,Hillingdon 025E,21.2,29.8,90.2,42,16.7,14.0,7.8,25887
E01002396,Hillingdon 026A,15.1,74.9,72.1,31.4,19.4,12.0,8.2,26082
E01002501,Hillingdon 026B,14,64.9,80.8,22.1,17.4,12.8,9.0,28545
E01002502,Hillingdon 026C,14.3,51.4,82.3,34,12.6,15.7,8.8,25745
E01002505,Hillingdon 026D,17.6,59.5,75.7,42.7,20.4,13.9,9.6,23447
E01002508,Hillingdon 026E,18.4,63.2,77.5,47.8,15.9,11.4,11.4,22760
E01002405,Hillingdon 027A,15,52.6,79.2,23.5,20.3,13.7,10.2,26691
E01002406,Hillingdon 027B,17.5,65.5,75.6,19.7,23.7,12.9,11.1,25605
E01002503,Hillingdon 027C,17.7,64.1,76.5,26.8,23.9,11.9,8.2,24824
E01002504,Hillingdon 027D,17.2,50.7,82.2,17.4,24.8,12.8,8.2,27503
E01002506,Hillingdon 027E,19.6,75.9,63.3,36.2,32.3,11.4,11.6,22827
E01002507,Hillingdon 027F,14.4,73.9,74.8,6,22.2,15.1,7.7,26996
E01002486,Hillingdon 028A,19.3,60.4,79.5,26.8,14.4,14.4,7.1,26818
E01002487,Hillingdon 028B,12.5,71,78.7,24.4,17.3,12.7,8.3,25665
E01002526,Hillingdon 028C,21.4,37.8,87.1,39.1,12.8,14.0,8.6,26233
E01002528,Hillingdon 028D,19,35.4,90.9,30.9,10.5,13.9,8.1,25613
E01002532,Hillingdon 028E,18.2,37.5,83.9,33.2,24,13.2,9.1,26456
E01002445,Hillingdon 029A,26.5,40,84.9,45.1,14.8,15.4,8.7,23684
E01002525,Hillingdon 029B,10.4,23.2,92.1,9,15.8,13.8,5.1,34322
E01002529,Hillingdon 029C,17,46.3,82.9,18.8,29.4,13.4,7.0,29536
E01002530,Hillingdon 029D,23.9,29.4,89.5,47.2,13.1,16.0,9.5,23346
E01002531,Hillingdon 029E,9,25.5,91.5,16.8,12.4,14.0,4.3,32995
E01002407,Hillingdon 030A,17.4,76,67.6,21.8,22.8,13.4,10.3,24712
E01002488,Hillingdon 030B,15.4,62,77.3,9.6,18.6,13.9,6.7,27191
E01002489,Hillingdon 030C,13.2,78.6,70.6,9.1,29.6,10.8,8.0,26788
E01002490,Hillingdon 030D,14.9,68.1,75.3,7.6,25.2,12.3,7.1,26867
E01002492,Hillingdon 030E,16.8,75.8,76.4,9.8,21.7,15.2,7.2,26803
E01002444,Hillingdon 031A,7.8,48.2,85.4,6.7,32.8,13.2,7.1,29103
E01002446,Hillingdon 031B,12.3,36.3,87.5,12.3,29.4,12.0,5.9,29629
E01002447,Hillingdon 031C,15.2,46.8,78.7,14.4,43,14.0,6.5,26709
E01002527,Hillingdon 031D,11.3,26.2,90.4,16.2,24.8,11.2,6.9,27721
E01002443,Hillingdon 032A,11,69.6,69.7,3.5,37.8,10.6,6.7,28901
E01002448,Hillingdon 032B,11.9,51.5,79.9,14.5,32.5,12.1,7.3,26744
E01002449,Hillingdon 032C,10.8,57.7,72.4,8,43,10.9,5.6,26143
E01002491,Hillingdon 032D,18.5,67,78.6,30.6,17,12.8,9.2,24872
E01002493,Hillingdon 032E,25.3,64.5,72.4,42.6,16.6,13.5,8.3,23872
E01002496,Hillingdon 033A,11.9,27,87.2,11.9,22.9,14.3,6.7,30937
E01002497,Hillingdon 033B,14.5,31.5,89.6,12,29,13.2,6.8,30475
E01002498,Hillingdon 033C,10.3,25.1,95.7,6.2,9.7,16.8,4.0,39176
E01002499,Hillingdon 033D,14.9,30,91.2,9.3,18.7,15.6,7.0,33340
E01032577,Hillingdon 033E,16.3,25.1,91.7,9.8,7.8,15.3,4.9,36670
E01002569,Hounslow 001A,5.9,15,91.4,12.9,27,8.3,4.1,56823
E01002570,Hounslow 001B,7.9,18.1,86.3,17.8,36.3,8.4,5.4,51585
E01002573,Hounslow 001C,3.8,14.2,91,10.6,26.5,7.5,4.3,63185
E01002574,Hounslow 001D,7.6,18.5,90.1,7.3,32.6,7.5,2.7,56203
E01002575,Hounslow 001E,5.1,17.9,89.1,6.8,32,8.4,3.6,60700
E01002562,Hounslow 003A,16,32.6,83,41.5,12.7,10.3,7.9,28851
E01002564,Hounslow 003B,18.5,35.3,80,40.8,13.7,10.1,7.6,28023
E01002566,Hounslow 003C,16.7,47,77.5,59.9,18.7,11.2,8.0,27047
E01002568,Hounslow 003D,22.4,41.4,82.1,54.4,13,12.5,10.3,25952
E01033081,Hounslow 003F,12.9,31.3,80.9,28,38.2,10.8,6.2,36522
E01033082,Hounslow 003G,8.6,26.2,86.9,25.3,26.4,9.1,5.8,33775
E01002620,Hounslow 004A,14.6,68.8,71.6,29,28.3,11.7,9.8,25861
E01002625,Hounslow 004B,11.4,84.8,73,5.1,20.1,12.7,6.9,28090
E01002626,Hounslow 004C,9.2,76.9,69,10.2,21.4,11.9,8.0,28708
E01002627,Hounslow 004D,21.3,74.7,62.1,45.5,17.6,12.6,11.3,25052
E01002631,Hounslow 004E,13.4,82.7,69.5,8.8,27.1,11.7,6.3,27491
E01002633,Hounslow 005A,19.3,61.7,76.2,56,13,10.9,10.0,21339
E01002634,Hounslow 005B,24.9,67.3,70,59,11.5,12.2,13.1,20398
E01002637,Hounslow 005C,15.3,87.5,58.4,40.3,19.4,12.6,11.1,21891
E01002638,Hounslow 005D,18.4,75.8,68.4,40.5,14.9,12.3,9.9,24455
E01002563,Hounslow 006A,7.6,32.8,85.7,7.1,26.9,13.9,5.2,39958
E01002565,Hounslow 006B,8.9,25.8,82.9,29.9,19,10.2,3.5,35705
E01002567,Hounslow 006C,8.2,19.7,87.3,14.6,26.4,9.7,4.9,41498
E01002684,Hounslow 006D,11.9,31.8,82.8,24.6,29.5,9.6,6.0,37029
E01002686,Hounslow 006E,16.2,31.6,85.8,53.6,10.3,12.8,9.1,25580
E01002571,Hounslow 007A,7.5,15.8,90,4.4,28.3,8.2,3.7,63950
E01002572,Hounslow 007B,17.6,31.7,84.6,52.1,13.2,12.8,9.5,28005
E01002577,Hounslow 007C,6.4,20.9,87.4,11.2,23.5,8.5,2.9,55498
E01002578,Hounslow 007D,7.2,19.2,91.7,15.4,17.5,10.3,4.4,59425
E01002689,Hounslow 007E,9.7,24.3,89.9,31.2,16.3,9.2,6.1,47170
E01002690,Hounslow 007F,7.8,15.6,90.4,15.2,21.6,8.8,4.2,63478
E01002576,Hounslow 008A,14,25.3,90.7,33.3,19.2,10.2,5.8,42197
E01002579,Hounslow 008B,6.4,15.9,92.5,14.1,17.9,9.8,3.4,56349
E01002580,Hounslow 008C,8.4,21.7,84.3,30.2,37.3,7.9,4.8,41423
E01002581,Hounslow 008D,8.4,18.4,91,10.7,34.3,9.0,3.3,51842
E01002582,Hounslow 008E,7.2,12.5,93.2,15.9,18.5,11.0,3.2,58511
E01002675,Hounslow 009A,9.8,50.3,86.4,11.4,18.7,12.8,5.0,43710
E01002678,Hounslow 009B,7.2,59.4,82.2,1.5,32.6,10.4,4.4,43096
E01002679,Hounslow 009C,7.6,51,78.5,4.8,27.5,10.3,4.1,39855
E01002680,Hounslow 009D,7.6,51.4,82.6,7.4,31.6,10.2,7.9,40955
E01002619,Hounslow 010A,10.4,81,70.5,14.1,20,10.9,8.2,28509
E01002622,Hounslow 010B,8.9,78.7,74.9,16.5,24.3,11.4,6.7,29894
E01002632,Hounslow 010C,10,78.4,76.6,17.6,14.2,11.3,5.5,29905
E01002635,Hounslow 010D,10.9,82,71.8,8.4,28.1,11.9,8.0,29243
E01002636,Hounslow 010E,14.3,79.4,70.8,12.2,20.7,13.1,8.7,27568
E01002618,Hounslow 011A,11.3,81.3,73.6,3.3,15.8,12.4,4.8,36566
E01002621,Hounslow 011B,14.3,73.9,72.1,24.4,21.2,11.8,7.9,27946
E01002623,Hounslow 011C,16.3,78.9,70.2,27.3,23.6,12.4,7.8,27295
E01002628,Hounslow 011D,10.3,74.9,71.6,5.8,29.4,11.8,5.6,32010
E01002629,Hounslow 011E,13,74.6,69.9,22.7,25.9,11.4,6.8,30239
E01002630,Hounslow 012A,9.1,74.5,70.1,6,37.6,9.0,6.0,32756
E01002639,Hounslow 012B,7,74.3,65.4,1.2,34.8,9.2,5.7,33370
E01002640,Hounslow 012C,8.8,82.1,66.1,2.7,42.2,9.4,5.6,31744
E01002674,Hounslow 012D,7.3,59.5,77.4,1.6,35,9.0,3.5,44348
E01002676,Hounslow 012E,7.7,70.6,82.6,0.7,25.2,10.5,5.7,48181
E01002583,Hounslow 013A,11.1,80.1,67.2,8,28.9,12.3,6.8,28907
E01002584,Hounslow 013B,14.6,83,63.9,8.5,34.9,11.2,7.4,26090
E01002585,Hounslow 013C,18.3,71.5,71.1,23.4,23.4,11.6,6.2,24726
E01002586,Hounslow 013D,10.1,83.2,68.9,2.6,29.5,10.5,7.1,27626
E01002589,Hounslow 013E,17,73.4,67.4,36.9,26,13.5,8.3,25124
E01002668,Hounslow 014A,9.3,31.2,86.7,17.4,29.3,11.3,5.4,37716
E01002669,Hounslow 014B,21.2,30.9,85.1,42.2,14.1,13.5,8.2,25786
E01002681,Hounslow 014C,16.3,43.7,81,34.5,24.8,13.2,6.2,29297
E01002682,Hounslow 014D,13.2,36.6,84.3,25.2,13.4,9.8,4.9,33423
E01002683,Hounslow 014E,9,33.6,86.5,11,24.6,10.9,4.2,40823
E01002642,Hounslow 015A,9.8,75.6,62.9,16.9,48.2,9.0,6.4,30094
E01002643,Hounslow 015B,10.4,56.4,80.5,27.6,15.9,9.2,6.2,29469
E01002645,Hounslow 015C,8.4,62.2,69.1,26,30.2,10.4,8.2,27546
E01002658,Hounslow 015D,8.4,25.1,90.4,3.2,19.6,13.3,4.1,45955
E01002677,Hounslow 015E,10.7,39.5,80.1,18.6,29.8,11.0,6.7,35996
E01002587,Hounslow 016A,13.6,75.8,65.8,22.6,28.6,9.2,7.1,26038
E01002588,Hounslow 016B,24.2,51.1,76.2,80.4,6.8,14.8,12.6,20383
E01002660,Hounslow 016C,7.5,80.1,65.3,14.4,33.3,9.3,6.3,28244
E01002661,Hounslow 016D,8.7,87.1,60.4,3.7,32.6,9.4,6.1,28168
E01002665,Hounslow 016E,13.7,73.9,64.9,36.5,19.8,9.2,5.9,24606
E01002624,Hounslow 017A,12.1,73,72.1,19.8,26.2,9.2,7.5,26949
E01002646,Hounslow 017B,17,73.7,66.4,36.2,30.2,9.7,9.8,24410
E01002662,Hounslow 017C,9.4,75.4,67.8,5.4,40.8,9.0,5.4,32650
E01002663,Hounslow 017D,11.1,71.1,71,36.4,21.4,10.7,6.9,25700
E01002664,Hounslow 017E,11.4,69.8,66.9,19.3,37.1,10.4,6.9,27963
