Codes,Names,Lone parent household (%),BAME (%),English as first language (%),Social rented (%),Private rented (%),% Highest level of qualification: Level 2 qualifications,Unemployment rate,Median Household Income (£)
E01001832,Hackney 009E,10.1,43.6,86.8,28,36.4,8.4,7.9,38736
E01001764,Hackney 010A,14.2,50.9,82.3,42.7,25,10.3,10.1,30468
E01001765,Hackney 010B,19.8,68.8,81,80.2,8.9,13.4,18.4,22782
E01001767,Hackney 010D,16.4,48.2,81.4,33,34.7,10.1,10.4,33605
E01001770,Hackney 010E,16.6,59.6,78.2,54.3,22.4,10.3,13.9,25907
E01033703,Hackney 010F,13.3,47.6,77.9,35.8,43,9.9,10.9,27000
E01033713,Hackney 010G,14.5,47.2,81.9,29.5,37.3,9.2,11.8,29701
E01001792,Hackney 011A,16.6,54.5,83.7,31.8,22.6,10.9,9.8,32767
E01001793,Hackney 011B,13.3,48.6,85.1,27.4,30.9,9.1,10.6,34429
E01001794,Hackney 011C,10.4,46.1,79.3,17.8,31.9,9.3,9.1,40167
E01001795,Hackney 011D,11.4,42.8,84.6,19.6,41.7,9.2,12.8,36561
E01001796,Hackney 011E,12.2,50.1,77.5,27.8,42.2,8.3,10.5,29969
E01001736,Hackney 012A,12.6,33.4,87.4,28,31.8,8.2,6.7,45623
E01001737,Hackney 012B,9.7,30.5,91.5,26.5,27.2,7.8,6.3,51069
E01001738,Hackney 012C,9.6,27,85,30.4,33.4,7.8,6.3,43760
E01001739,Hackney 012D,10.6,24.7,89.6,24.9,27.1,8.2,6.2,48840
E01001786,Hackney 013A,23.7,73.2,78.2,71.8,11.7,14.4,15.2,23792
E01001787,Hackney 013B,24.7,62,82.6,70.9,8.9,12.8,17.4,22273
E01001788,Hackney 013C,20.9,65.9,82.8,70.3,16,11.8,17.1,23435
E01001790,Hackney 013D,24,75.7,76.6,73.2,14.2,15.8,16.9,22805
E01001740,Hackney 014A,23.1,59.1,79,67.1,14.3,10.5,13.0,25346
E01001747,Hackney 014B,11.8,39.1,79.3,24.9,41.4,7.8,8.0,34800
E01001830,Hackney 014C,13.7,48.9,82.6,56.2,26.6,9.1,10.5,28306
E01001833,Hackney 014D,16.3,46.9,81.6,38.7,28.8,9.8,9.3,32918
E01001834,Hackney 014E,12.5,40.7,83.1,30.4,39.9,7.4,7.4,37766
E01001835,Hackney 014F,7.7,36.3,91.1,18.6,25.7,9.1,6.1,46214
E01001733,Hackney 015A,11.8,42.8,82,20.7,33.2,9.8,9.0,34150
E01001785,Hackney 015B,18.5,48.6,84.9,33.9,22.1,10.1,11.1,29862
E01001789,Hackney 015C,16.7,47,86.7,34.1,23.8,11.5,9.7,35046
E01001791,Hackney 015D,23.8,62.9,85.4,48.2,13.8,12.5,14.6,28238
E01001745,Hackney 016A,17.3,55.8,80.3,54.7,27.2,10.5,11.4,26487
E01001746,Hackney 016B,28.8,66.4,76.3,80.4,9.2,13.1,15.6,25124
E01001757,Hackney 016C,26.5,76.6,79.4,71.1,14.7,15.3,13.5,24745
E01001758,Hackney 016D,18,61,80.1,54.9,23.1,11.3,11.9,26405
E01001759,Hackney 016E,14.4,50.7,88.5,49.2,24.4,10.5,11.5,30212
E01001761,Hackney 016F,14.8,48.7,84.7,60.5,21.4,9.1,10.1,28031
E01001731,Hackney 017A,14.8,52.9,81.8,52.6,27.7,10.5,11.9,27518
E01001734,Hackney 017B,13.4,44.8,82.3,30.3,46.2,7.7,11.3,30080
E01001760,Hackney 017C,15.7,50.5,82.4,41.4,40,10.5,11.6,29351
E01001762,Hackney 017D,10.6,35.9,89.4,31.2,39.8,9.5,8.1,35300
E01001846,Hackney 018A,21.7,57.2,87.7,60,15.5,13.8,13.6,26210
E01001847,Hackney 018B,19.5,51.4,88.2,46.3,22.7,12.0,13.2,25625
E01001848,Hackney 018C,15.7,45,88.9,47.3,20.3,8.9,10.3,29023
E01001849,Hackney 018D,17.8,52.4,84.6,34.4,34.1,10.5,11.0,28381
E01001729,Hackney 019A,21.7,66.5,83.7,64.5,16.6,14.2,15.6,23760
E01001730,Hackney 019B,21.1,63.4,78.2,71.8,14.7,13.1,16.9,22693
E01001732,Hackney 019C,26.3,65.2,78.6,70,12.5,14.1,18.2,23028
E01001735,Hackney 019D,16.6,43.3,88.5,44.2,17.9,10.5,8.5,30975
E01001838,Hackney 019E,26.1,67.7,80.4,79.6,7.4,14.1,22.6,21812
E01001850,Hackney 019F,29.4,69.9,81.2,74.4,13.6,16.0,18.2,22124
E01001748,Hackney 020A,11.7,39.9,85.4,33.9,39.5,8.3,8.4,35122
E01001749,Hackney 020B,11,29.5,92.9,29.6,27.6,6.1,6.0,45818
E01001763,Hackney 020C,14.8,43.7,88.8,48.5,24.4,8.9,12.6,34916
E01001816,Hackney 020D,15.5,37.5,89.8,38.8,17.8,11.3,9.5,38295
E01001819,Hackney 020E,12.6,32,93.3,46.8,18,10.2,7.9,44092
E01001744,Hackney 021B,14.2,42.6,86,46.6,20,9.6,6.2,32908
E01001750,Hackney 021C,13.7,40.3,85.2,40.7,27.7,8.4,6.0,36264
E01001751,Hackney 021D,5.3,16.4,95.9,10.7,34.8,5.8,3.6,65423
E01001756,Hackney 021E,7.7,25.2,89.8,21.8,44.6,6.5,6.4,45231
